                                                                                                             
{'loss': '0.1407', 'grad_norm': '0.5937', 'learning_rate': '0.0001795', 'epoch': '0.3083'}
{'loss': '0.1463', 'grad_norm': '0.4426', 'learning_rate': '0.0001791', 'epoch': '0.3135'}
{'loss': '0.1249', 'grad_norm': '0.4668', 'learning_rate': '0.0001788', 'epoch': '0.3186'}
{'loss': '0.1353', 'grad_norm': '0.5015', 'learning_rate': '0.0001785', 'epoch': '0.3237'}
{'loss': '0.108', 'grad_norm': '0.3138', 'learning_rate': '0.0001781', 'epoch': '0.3289'}
{'loss': '0.1251', 'grad_norm': '0.3788', 'learning_rate': '0.0001778', 'epoch': '0.334'}
{'loss': '0.1364', 'grad_norm': '0.2874', 'learning_rate': '0.0001774', 'epoch': '0.3392'}
{'loss': '0.1183', 'grad_norm': '0.218', 'learning_rate': '0.0001771', 'epoch': '0.3443'}
{'loss': '0.1255', 'grad_norm': '0.2582', 'learning_rate': '0.0001767', 'epoch': '0.3494'}
{'loss': '0.1165', 'grad_norm': '0.257', 'learning_rate': '0.0001764', 'epoch': '0.3546'}
{'loss': '0.1132', 'grad_norm': '0.3343', 'learning_rate': '0.0001761', 'epoch': '0.3597'}
{'loss': '0.1074', 'grad_norm': '0.2633', 'learning_rate': '0.0001757', 'epoch': '0.3649'}
{'loss': '0.1112', 'grad_norm': '0.1984', 'learning_rate': '0.0001754', 'epoch': '0.37'}
{'loss': '0.1235', 'grad_norm': '0.1285', 'learning_rate': '0.000175', 'epoch': '0.3751'}
{'loss': '0.1321', 'grad_norm': '0.3841', 'learning_rate': '0.0001747', 'epoch': '0.3803'}
{'loss': '0.1061', 'grad_norm': '0.2814', 'learning_rate': '0.0001743', 'epoch': '0.3854'}
{'loss': '0.1405', 'grad_norm': '0.6736', 'learning_rate': '0.000174', 'epoch': '0.3905'}
{'loss': '0.1018', 'grad_norm': '0.2168', 'learning_rate': '0.0001737', 'epoch': '0.3957'}
{'loss': '0.1139', 'grad_norm': '0.5277', 'learning_rate': '0.0001733', 'epoch': '0.4008'}
{'loss': '0.1341', 'grad_norm': '0.3456', 'learning_rate': '0.000173', 'epoch': '0.406'}
{'loss': '0.1035', 'grad_norm': '0.3905', 'learning_rate': '0.0001726', 'epoch': '0.4111'}
{'loss': '0.1247', 'grad_norm': '0.2115', 'learning_rate': '0.0001723', 'epoch': '0.4162'}
{'loss': '0.1038', 'grad_norm': '0.2407', 'learning_rate': '0.0001719', 'epoch': '0.4214'}
{'loss': '0.1277', 'grad_norm': '0.3289', 'learning_rate': '0.0001716', 'epoch': '0.4265'}
{'loss': '0.1148', 'grad_norm': '0.2938', 'learning_rate': '0.0001713', 'epoch': '0.4317'}
{'loss': '0.1028', 'grad_norm': '0.2017', 'learning_rate': '0.0001709', 'epoch': '0.4368'}
{'loss': '0.1156', 'grad_norm': '0.1972', 'learning_rate': '0.0001706', 'epoch': '0.4419'}
{'loss': '0.1222', 'grad_norm': '0.4656', 'learning_rate': '0.0001702', 'epoch': '0.4471'}
{'loss': '0.1193', 'grad_norm': '0.323', 'learning_rate': '0.0001699', 'epoch': '0.4522'}
{'loss': '0.1176', 'grad_norm': '0.259', 'learning_rate': '0.0001695', 'epoch': '0.4573'}
{'loss': '0.1201', 'grad_norm': '0.2766', 'learning_rate': '0.0001692', 'epoch': '0.4625'}
{'loss': '0.101', 'grad_norm': '0.2317', 'learning_rate': '0.0001689', 'epoch': '0.4676'}
{'loss': '0.1201', 'grad_norm': '0.3403', 'learning_rate': '0.0001685', 'epoch': '0.4728'}
{'loss': '0.1165', 'grad_norm': '0.1299', 'learning_rate': '0.0001682', 'epoch': '0.4779'}
{'loss': '0.1068', 'grad_norm': '0.1016', 'learning_rate': '0.0001678', 'epoch': '0.483'}
{'loss': '0.1068', 'grad_norm': '0.3335', 'learning_rate': '0.0001675', 'epoch': '0.4882'}
{'loss': '0.1208', 'grad_norm': '0.396', 'learning_rate': '0.0001671', 'epoch': '0.4933'}
{'loss': '0.1065', 'grad_norm': '0.2075', 'learning_rate': '0.0001668', 'epoch': '0.4985'}
{'loss': '0.104', 'grad_norm': '0.2123', 'learning_rate': '0.0001665', 'epoch': '0.5036'}
{'loss': '0.1158', 'grad_norm': '0.2001', 'learning_rate': '0.0001661', 'epoch': '0.5087'}
{'loss': '0.1111', 'grad_norm': '0.1192', 'learning_rate': '0.0001658', 'epoch': '0.5139'}
{'loss': '0.1006', 'grad_norm': '0.2536', 'learning_rate': '0.0001654', 'epoch': '0.519'}
{'loss': '0.1045', 'grad_norm': '0.2319', 'learning_rate': '0.0001651', 'epoch': '0.5242'}
{'loss': '0.09685', 'grad_norm': '0.364', 'learning_rate': '0.0001647', 'epoch': '0.5293'}
{'loss': '0.1191', 'grad_norm': '0.259', 'learning_rate': '0.0001644', 'epoch': '0.5344'}
{'loss': '0.1045', 'grad_norm': '0.2457', 'learning_rate': '0.0001641', 'epoch': '0.5396'}
{'loss': '0.1065', 'grad_norm': '0.3236', 'learning_rate': '0.0001637', 'epoch': '0.5447'}
{'loss': '0.1082', 'grad_norm': '0.1382', 'learning_rate': '0.0001634', 'epoch': '0.5498'}
{'loss': '0.1115', 'grad_norm': '0.2852', 'learning_rate': '0.000163', 'epoch': '0.555'}
{'loss': '0.1259', 'grad_norm': '0.4094', 'learning_rate': '0.0001627', 'epoch': '0.5601'}
{'loss': '0.1049', 'grad_norm': '0.1593', 'learning_rate': '0.0001624', 'epoch': '0.5653'}
{'loss': '0.119', 'grad_norm': '0.2829', 'learning_rate': '0.000162', 'epoch': '0.5704'}
